Taxon,Species
Mammals,Acomys minous
Mammals,Apodemus agrarius
Mammals,Apodemus alpicola
Mammals,Apodemus flavicollis
Mammals,Apodemus mystacinus
Mammals,Apodemus sylvaticus
Mammals,Apodemus witherbyi
Mammals,Arvicola amphibius
Mammals,Arvicola italicus
Mammals,Barbastella barbastellus
Mammals,Canis aureus
Mammals,Canis lupus
Mammals,Capra pyrenaica
Mammals,Capreolus capreolus
Mammals,Castor fiber
Mammals,Cervus elaphus
Mammals,Clethrionomys glareolus
Mammals,Crocidura gueldenstaedtii
Mammals,Crocidura leucodon
Mammals,Crocidura pachyura
Mammals,Crocidura russula
Mammals,Crocidura sicula
Mammals,Dama dama
Mammals,Dryomys nitedula
Mammals,Eliomys quercinus
Mammals,Eptesicus anatolicus
Mammals,Eptesicus isabellinus
Mammals,Eptesicus nilssonii
Mammals,Eptesicus serotinus
Mammals,Erinaceus concolor
Mammals,Erinaceus europaeus
Mammals,Erinaceus roumanicus
Mammals,Felis silvestris
Mammals,Glis glis
Mammals,Herpestes ichneumon
Mammals,Hypsugo savii
Mammals,Hystrix cristata
Mammals,Lepus castroviejoi
Mammals,Lepus corsicanus
Mammals,Lepus europaeus
Mammals,Lepus granatensis
Mammals,Lepus timidus
Mammals,Lutra lutra
Mammals,Lynx lynx
Mammals,Lynx pardinus
Mammals,Martes foina
Mammals,Martes martes
Mammals,Meles meles
Mammals,Micromys minutus
Mammals,Microtus agrestis
Mammals,Microtus arvalis
Mammals,Microtus brachycercus
Mammals,Microtus cabrerae
Mammals,Microtus duodecimcostatus
Mammals,Microtus felteni
Mammals,Microtus gerbii
Mammals,Microtus liechtensteini
Mammals,Microtus lusitanicus
Mammals,Microtus multiplex
Mammals,Microtus mystacinus
Mammals,Microtus savii
Mammals,Microtus subterraneus
Mammals,Miniopterus schreibersii
Mammals,Mus macedonicus
Mammals,Mus spretus
Mammals,Muscardinus avellanarius
Mammals,Mustela erminea
Mammals,Mustela nivalis
Mammals,Mustela putorius
Mammals,Myotis alcathoe
Mammals,Myotis bechsteinii
Mammals,Myotis blythii
Mammals,Myotis brandtii
Mammals,Myotis capaccinii
Mammals,Myotis crypticus
Mammals,Myotis daubentonii
Mammals,Myotis emarginatus
Mammals,Myotis escalerai
Mammals,Myotis myotis
Mammals,Myotis mystacinus
Mammals,Myotis nattereri
Mammals,Myotis nustrale
Mammals,Myotis punicus
Mammals,Neomys fodiens
Mammals,Nyctalus lasiopterus
Mammals,Nyctalus leisleri
Mammals,Nyctalus noctula
Mammals,Oryctolagus cuniculus
Mammals,Pipistrellus hanaki
Mammals,Pipistrellus kuhlii
Mammals,Pipistrellus nathusii
Mammals,Pipistrellus pipistrellus
Mammals,Pipistrellus pygmaeus
Mammals,Plecotus auritus
Mammals,Plecotus austriacus
Mammals,Plecotus kolombatovici
Mammals,Plecotus macrobullaris
Mammals,Plecotus sardus
Mammals,Rhinolophus blasii
Mammals,Rhinolophus euryale
Mammals,Rhinolophus ferrumequinum
Mammals,Rhinolophus hipposideros
Mammals,Rhinolophus mehelyi
Mammals,Rupicapra pyrenaica
Mammals,Rupicapra rupicapra
Mammals,Sciurus anomalus
Mammals,Sciurus vulgaris
Mammals,Sorex alpinus
Mammals,Sorex araneus
Mammals,Sorex coronatus
Mammals,Sorex granarius
Mammals,Sorex minutus
Mammals,Sorex samniticus
Mammals,Suncus etruscus
Mammals,Sus scrofa
Mammals,Tadarida teniotis
Mammals,Talpa aquitania
Mammals,Talpa caeca
Mammals,Talpa europaea
Mammals,Talpa occidentalis
Mammals,Talpa romana
Mammals,Ursus arctos
Mammals,Vespertilio murinus
Mammals,Vormela peregusna
Mammals,Vulpes vulpes
