Taxon,Species,Region,Grid,Idgrid,Source
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1500000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1500000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E4650000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E4600000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E2900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E5500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E2850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E2850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E2900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E4600000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E4650000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E5500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E6350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E6350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E6400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E6400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E3150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E3200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E4550000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1550000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E2950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E3000000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E5900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E6300000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E3050000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E3100000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E3250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E4500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1600000E6450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E2850000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E2900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E2950000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3000000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3050000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3100000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3150000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3200000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E3250000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4500000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4550000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4600000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4650000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4700000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E4750000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5400000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5450000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E5900000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E6350000,IUCN_Red_List
Mammals,Hypsugo savii,EUROMEDIT,50x50,CRS3035RES50000mN1650000E6400000,IUCN_Red_List
