Taxon,Species,Trait,Value,Source,Origin
Birds,Acanthis flammea,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Acanthis flammea,BeakLengthCulmen,11.4,AVONET,observation
Birds,Acanthis flammea,BeakRatio,2.53333300000000,AVONET,observation
Birds,Acanthis flammea,ReproPerYear,2,Storchova_Horak_2018,observation
Birds,Acanthis flammea,OffspringPerRepro,5,Storchova_Horak_2018,observation
Birds,Acanthis flammea,FledgingPeriod,12,Storchova_Horak_2018,observation
Birds,Acanthis flammea,GenerationLength,2.592005000,Bird_et_al_2020,mixte
Birds,Acanthis flammea,HandWingIndex,33.1,AVONET,observation
Birds,Acanthis flammea,LongevityMax,12,Storchova_Horak_2018,observation
Birds,Acanthis flammea,BodyMass,13,AVONET,observation
Birds,Acanthis flammea,Migration,2_intermediate,AVONET,observation
Birds,Acanthis flammea,TailLength,58.7,AVONET,observation
Birds,Acanthis flammea,TarsusLength,15.6,AVONET,observation
Birds,Accipiter brevipes,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,BeakLengthCulmen,21.1,AVONET,observation
Birds,Accipiter brevipes,BeakRatio,2.42528700000000,AVONET,observation
Birds,Accipiter brevipes,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,OffspringPerRepro,4,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,FledgingPeriod,43,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,GenerationLength,3.887832000,Bird_et_al_2020,mixte
Birds,Accipiter brevipes,HandWingIndex,40.2,AVONET,observation
Birds,Accipiter brevipes,LongevityMax,15.5,Storchova_Horak_2018,observation
Birds,Accipiter brevipes,BodyMass,186.5,AVONET,observation
Birds,Accipiter brevipes,Migration,3_migratory,AVONET,observation
Birds,Accipiter brevipes,TailLength,153.5,AVONET,observation
Birds,Accipiter brevipes,TarsusLength,46.4,AVONET,observation
Birds,Accipiter gentilis,FirstBreedingAge,3,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,BeakLengthCulmen,33.7,AVONET,observation
Birds,Accipiter gentilis,BeakRatio,2.9051720000000,AVONET,observation
Birds,Accipiter gentilis,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,OffspringPerRepro,3.5,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,FledgingPeriod,39,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,GenerationLength,7.483528000,Bird_et_al_2020,mixte
Birds,Accipiter gentilis,HandWingIndex,36.3,AVONET,observation
Birds,Accipiter gentilis,LongevityMax,22,Storchova_Horak_2018,observation
Birds,Accipiter gentilis,BodyMass,866,AVONET,observation
Birds,Accipiter gentilis,Migration,2_intermediate,AVONET,observation
Birds,Accipiter gentilis,TailLength,241.1,AVONET,observation
Birds,Accipiter gentilis,TarsusLength,67.3,AVONET,observation
Birds,Accipiter nisus,FirstBreedingAge,2,Storchova_Horak_2018,observation
Birds,Accipiter nisus,BeakLengthCulmen,19.6,AVONET,observation
Birds,Accipiter nisus,BeakRatio,2.33333300000000,AVONET,observation
Birds,Accipiter nisus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Accipiter nisus,OffspringPerRepro,4.5,Storchova_Horak_2018,observation
Birds,Accipiter nisus,FledgingPeriod,27,Storchova_Horak_2018,observation
Birds,Accipiter nisus,GenerationLength,5.536678000,Bird_et_al_2020,mixte
Birds,Accipiter nisus,HandWingIndex,35.5,AVONET,observation
Birds,Accipiter nisus,LongevityMax,20,Storchova_Horak_2018,observation
Birds,Accipiter nisus,BodyMass,220.8,AVONET,observation
Birds,Accipiter nisus,Migration,2_intermediate,AVONET,observation
Birds,Accipiter nisus,TailLength,155.5,AVONET,observation
Birds,Accipiter nisus,TarsusLength,53.6,AVONET,observation
Birds,Aegithalos caudatus,FirstBreedingAge,1,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,BeakLengthCulmen,7.6,AVONET,observation
Birds,Aegithalos caudatus,BeakRatio,3.04,AVONET,observation
Birds,Aegithalos caudatus,ReproPerYear,1,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,OffspringPerRepro,10,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,FledgingPeriod,16,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,GenerationLength,2.393005000,Bird_et_al_2020,mixte
Birds,Aegithalos caudatus,HandWingIndex,22,AVONET,observation
Birds,Aegithalos caudatus,LongevityMax,11,Storchova_Horak_2018,observation
Birds,Aegithalos caudatus,BodyMass,8.6,AVONET,observation
Birds,Aegithalos caudatus,Migration,1_sedentary,AVONET,observation
Birds,Aegithalos caudatus,TailLength,87.8,AVONET,observation
Birds,Aegithalos caudatus,TarsusLength,15.9,AVONET,observation
Birds,Aegolius funereus,FirstBreedingAge,1,Storchova_Horak_2018,observation
