spcode,class,subclass,order,family,genus,species,authority_species,subspecies,authority_subspecies,EUROMED_taxon_name,Browicz_taxon_name,Kew_taxon_name
AALB,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,alba, Mill.,,,Abies alba Mill.,,Abies alba Mill.
ABOR,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,borisii-regis, Mattf.,,,Abies borisii-regis Mattf.,, Abies × borisii-regis Mattf.
ACEP,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,cephalonica, Loudon,,,Abies cephalonica Loudon,,Abies cephalonica Loudon
ANEB,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,nebrodensis, (Lojac.) Mattei,,,Abies nebrodensis (Lojac.) Mattei,,Abies nebrodensis (Lojac.) Mattei
APIN,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,pinsapo, Boiss,,,Abies pinsapo Boiss.,,Abies pinsapo Boiss.
ACAM,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,campestre, L.,,,,Acer campestre L. sensu lato,
ACAMc,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,campestre, L.,campestre,,,,
ACAMl,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,campestre, L.,leiocarpum,(Opiz) Pax,,,
ACAMm,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,campestre, L.,marsicum,(Guss.) Hayek,,,
ACAP,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,cappadocicum, Gled.,,,,,
ACAPl,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,cappadocicum, Gled.,lobelii,(Ten.) A.E. Murray,,,Acer cappadocicum subsp. lobelii (Ten.) A.E.Murray
AHEL,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,heldreichii, Orph. ex Boiss.,,,,,
AHELh,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,heldreichii, Orph. ex Boiss.,heldreichii,,,,
AHYR,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,hyrcanum, Fischer & C.A. Meyer,,,,Acer hyrcanum Fischer & C.A. Mey. sensu lato,
AHYRh,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,hyrcanum, Fischer & C.A. Meyer,hyrcanum,,,,
AHYRi,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,hyrcanum, Fischer & C.A. Meyer,intermedium,Pancic,,,
AHYRr,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,hyrcanum, Fischer & C.A. Meyer,reginae-amaliae,(Boiss.) E. Murray,,,
AMON,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,monspessulanum, L.,,,,Acer monspessulanum L. sensu lato,
AMONi,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,monspessulanum, L.,microphyllum,(Boiss.) Bornm.,,,
AMONo,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,monspessulanum, L.,monspessulanum,,,,
AOBT,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,obtusifolium, Sm.,,,,Acer syriacum Boiss. & Gaill.,
AOPA,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,opalus, Mill.,,,,,
AOPAg,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,opalus, Mill.,granatense,(Boiss.) Font Quer & Rothm.,,,Acer granatense Boiss.
AOPAb,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,opalus, Mill.,obtusatum,(Willd.) Gams.,,,
AOPAp,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,opalus, Mill.,opalus,,,,
APLA,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,platanoides, L.,,,,Acer platanoides L.,
APSE,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,pseudoplatanus, L.,,,,,
ASEM,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,sempervirens, L.,,,,Acer sempervirens L.,
ATAT,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,tataricum, L.,,,,Acer tataricum L.,
AHIP,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Aesculus,hippocastanum, L.,,,,,
ACOR,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,cordata, (Loisel.) Loisel.,,,Alnus cordata (Loisel.) Duby,,Alnus cordata (Loisel.) Duby
AGLU,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,glutinosa, (L.) Gaertn.,,,,,
AGLUg,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,glutinosa, (L.) Gaertn.,glutinosa,,Alnus glutinosa (L.) Gaertn. subsp. glutinosa,Alnus glutinosa (L.) Gaertner,Alnus glutinosa (L.) Gaertn. subsp. glutinosa
AINC,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,incana, (L.) Moench,,,,,
AINCi,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,incana, (L.) Moench,incana,,Alnus incana (L.) Moench subsp. incana,,Alnus incana (L.) Moench
ALUS,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,lusitanica," Vít, Douda & Mandák",,,,,
AORI,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,orientalis, Decne.,,,Alnus orientalis Decne.,Alnus orientalis Decne.,Alnus orientalis Decne.
AROH,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,rohlenae," Vít, Douda & Mandák",,,,,
AVIR,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,viridis, (Chaix) DC.,,,Alnus viridis (Chaix) DC.,,Alnus alnobetula (Ehrh.) K.Koch
AVIRs,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,viridis, (Chaix) DC.,suaveolens,(Req.) P. W. Ball,Alnus viridis (Chaix) DC. subsp. suaveolens (Req.) P. W. Ball,,Alnus alnobetula (Ehrh.) K.Koch subsp. suaveolens (Req.) Lambinon & Kerguélen
AVIRv,Magnoliopsida,Rosanae,Fagales,Betulaceae,Alnus,viridis, (Chaix) DC.,viridis,,Alnus viridis (Chaix) DC. subsp. viridis,,Alnus alnobetula (Ehrh.) K.Koch subsp. alnobetula
AAND,Magnoliopsida,Asteranae,Ericales,Ericaceae,Arbutus,andrachne, L.,,,Arbutus andrachne L.,Arbutus andrachne L.,
AUNE,Magnoliopsida,Asteranae,Ericales,Ericaceae,Arbutus,unedo, L.,,,Arbutus unedo L.,Arbutus unedo L.,
BPEN,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,pendula, Roth,,,Betula pendula Roth,Betula pendula Roth sensu lato,Betula pendula Roth
BPENf,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,pendula, Roth,fontqueri,(Rothm.) Moreno & Peinado,Betula pendula Roth var. fontqueri (Rothm.) G. Moreno & Peinado,,Betula pendula Roth var. fontqueri (Rothm.) G.Moreno & Peinado
BPENp,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,pendula, Roth,pendula,,Betula pendula Roth var. pendula,,Betula pendula Roth var. pendula
BPUB,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,pubescens, Ehrh.,,,Betula pubescens Ehrh. var. pubescens,,Betula pubescens Ehrh. var. pubescens
BBAL,Magnoliopsida,Buxanae,Buxales,Buxaceae,Buxus,balearica, Lam.,,,,Buxus balearica Lam.,
BSEM,Magnoliopsida,Buxanae,Buxales,Buxaceae,Buxus,sempervirens, L.,,,,Buxus sempervirens L.,
CBET,Magnoliopsida,Rosanae,Fagales,Betulaceae,Carpinus,betulus, L.,,,Carpinus betulus L.,Carpinus betulus L.,Carpinus betulus L.
CAOR,Magnoliopsida,Rosanae,Fagales,Betulaceae,Carpinus,orientalis, Mill.,,,Carpinus orientalis Mill. subsp. orientalis,Carpinus orientalis Miller,Carpinus orientalis Mill.
CSAT,Magnoliopsida,Rosanae,Fagales,Fagaceae,Castanea,sativa, Mill.,,,Castanea sativa Mill.,Castanea sativa Miller,Castanea sativa Mill.
CLIB,Pinopsida,Pinidae,Pinales,Pinaceae,Cedrus,libani, A. Richard,,,,,
CLIBb,Pinopsida,Pinidae,Pinales,Pinaceae,Cedrus,libani, A. Richard,brevifolia,(Hooker fil.) Meikle,Cedrus libani A. Rich. subsp. brevifolia (Hook. f.) Meikle,Cedrus libani A. Rich. sensu lato,Cedrus brevifolia (Hook.f.) Elwes & A.Henry
CAUS,Magnoliopsida,Rosanae,Rosales,Cannabaceae,Celtis,australis, L.,,,Celtis australis L.,Celtis australis L.,
