"","trait_nm","trait_value","species_nm","quantile"
"2","BeakLengthCulmen",189.1,"Ciconia ciconia","quant99"
"3","BeakLengthCulmen",190.3,"Platalea leucorodia","quant99"
"4","BeakLengthCulmen",7.6,"Aegithalos caudatus","quant1"
"5","BeakLengthCulmen",9.2,"Serinus serinus","quant1"
"6","BeakRatio",15.152174,"Gallinago gallinago","quant99"
"7","BeakRatio",11.8,"Scolopax rusticola","quant99"
"8","BeakRatio",1.721154,"Falco subbuteo","quant1"
"9","BeakRatio",1.597561,"Pyrrhula pyrrhula","quant1"
"10","BodyMass",9320.6,"Aegypius monachus","quant99"
"11","BodyMass",5500,"Grus grus","quant99"
"12","BodyMass",5.6,"Regulus ignicapilla","quant1"
"13","BodyMass",5.5,"Regulus regulus","quant1"
"14","GenerationLength",17.393032,"Aquila adalberti","quant99"
"15","GenerationLength",17.027822,"Grus grus","quant99"
"16","GenerationLength",1.701295,"Certhia brachydactyla","quant1"
"17","GenerationLength",1.655128,"Lanius nubicus","quant1"
"18","HandWingIndex",57.8,"Falco subbuteo","quant99"
"19","HandWingIndex",55.6,"Falco vespertinus","quant99"
"20","HandWingIndex",14.3,"Cettia cetti","quant1"
"21","HandWingIndex",14.2,"Cyanistes teneriffae","quant1"
"22","OffspringPerRepro",12,"Alectoris barbara","quant99"
"23","OffspringPerRepro",18,"Clamator glandarius","quant99"
"24","OffspringPerRepro",1,"Aegypius monachus","quant1"
"25","OffspringPerRepro",1,"Circaetus gallicus","quant1"
"26","ReproPerYear",3,"Columba oenas","quant99"
"27","ReproPerYear",4.5,"Streptopelia decaocto","quant99"
"28","TarsusLength",217.2,"Ciconia ciconia","quant99"
"29","TarsusLength",234.4,"Grus grus","quant99"
"30","TarsusLength",13.7,"Remiz pendulinus","quant1"
"31","TarsusLength",12.7,"Spinus spinus","quant1"
