"","trait_nm","trait_value","species_nm","quantile"
"2","HostPlantSpec",18,"Callophrys rubi","quant99"
"3","HostPlantSpec",48,"Celastrina argiolus","quant99"
"4","HostPlantSpec",20,"Pieris napi","quant99"
"5","WingIndex",0.148,"Charaxes jasius","quant99"
"6","WingIndex",0.118,"Iphiclides podalirius","quant99"
"7","WingIndex",0.117,"Parnassius apollo","quant99"
"8","WingIndex",-0.072,"Freyeria trochylus","quant1"
"9","WingIndex",-0.066,"Tarucus balkanicus","quant1"
"10","WingSpan",79.5,"Charaxes jasius","quant99"
"11","WingSpan",73.5,"Iphiclides podalirius","quant99"
"12","WingSpan",77,"Parnassius apollo","quant99"
"13","WingSpan",16.5,"Freyeria trochylus","quant1"
"14","WingSpan",20,"Tarucus balkanicus","quant1"
