"","trait_nm","trait_value","species_nm","quantile"
"2","BodyMass",160166.665,"Cervus elaphus","quant99"
"3","BodyMass",240500,"Ursus arctos","quant99"
"4","BodyMass",4.2,"Sorex minutus","quant1"
"5","BodyMass",2.365,"Suncus etruscus","quant1"
"6","GenerationLength",5209.452,"Cervus elaphus","quant99"
"7","GenerationLength",5976.267,"Ursus arctos","quant99"
"8","GenerationLength",336.95,"Microtus brachycercus","quant1"
"9","GenerationLength",338.693,"Microtus savii","quant1"
"10","OffspringPerRepro",6.755,"Mustela erminea","quant99"
"11","OffspringPerRepro",7.68,"Mustela putorius","quant99"
"12","OffspringPerRepro",0.99,"Rhinolophus ferrumequinum","quant1"
"13","ReproPerYear",5.5,"Microtus arvalis","quant99"
"14","ReproPerYear",5.5,"Microtus mystacinus","quant99"
"15","ReproPerYear",0.82,"Canis lupus","quant1"
"16","ReproPerYear",0.4,"Ursus arctos","quant1"
